project,lineage_creator,change_pattern,total_occurrences,sum_n_cha,human_occurrences,human_sum_n_cha,agent_occurrences,agent_sum_n_cha
marimo-team/marimo,human,Inconsistent,1,1,1,1,0,0
marimo-team/marimo,human,Consistent,1,2,1,2,0,0
marimo-team/marimo,agent,Inconsistent,15,18,14,17,1,1
marimo-team/marimo,agent,Consistent,18,39,16,35,2,4
airbytehq/airbyte,human,Inconsistent,47,15,22,8,25,7
airbytehq/airbyte,human,Consistent,0,0,0,0,0,0
airbytehq/airbyte,agent,Inconsistent,1,1,1,1,0,0
airbytehq/airbyte,agent,Consistent,0,0,0,0,0,0
microsoft/testfx,human,Inconsistent,7,10,6,10,1,0
microsoft/testfx,human,Consistent,12,34,10,26,2,8
microsoft/testfx,agent,Inconsistent,0,0,0,0,0,0
microsoft/testfx,agent,Consistent,0,0,0,0,0,0
antiwork/flexile,human,Inconsistent,10,6,1,1,9,5
antiwork/flexile,human,Consistent,2,4,1,2,1,2
antiwork/flexile,agent,Inconsistent,0,0,0,0,0,0
antiwork/flexile,agent,Consistent,0,0,0,0,0,0
mlflow/mlflow,human,Inconsistent,46,40,38,34,8,6
mlflow/mlflow,human,Consistent,57,122,42,91,15,31
mlflow/mlflow,agent,Inconsistent,0,0,0,0,0,0
mlflow/mlflow,agent,Consistent,2,6,1,4,1,2
dotnet/aspire,human,Inconsistent,3,2,2,1,1,1
dotnet/aspire,human,Consistent,20,40,1,2,19,38
dotnet/aspire,agent,Inconsistent,0,0,0,0,0,0
dotnet/aspire,agent,Consistent,1,3,1,3,0,0
